sacc;stitle;sscinames
JN685240;Uncultured Glomeromycota clone 029 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Glomeromycotina
JN685241;Uncultured Glomeromycota clone 030 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Glomeromycotina
JN692707;Uncultured eukaryote clone TCD_2F11 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JN705495;Uncultured microeukaryote clone 226Feb24_08F 18S ribosomal RNA gene, partial sequence;uncultured microeukaryote
JN705497;Uncultured microeukaryote clone 226Feb24_12C 18S ribosomal RNA gene, partial sequence;uncultured microeukaryote
JN705504;Uncultured microeukaryote clone 226Jun21_07B 18S ribosomal RNA gene, partial sequence;uncultured microeukaryote
JN705531;Uncultured microeukaryote clone 229Feb24_11F 18S ribosomal RNA gene, partial sequence;uncultured microeukaryote
JN705538;Uncultured microeukaryote clone 229Jun21_06D 18S ribosomal RNA gene, partial sequence;uncultured microeukaryote
JN825671;Uncultured choanoflagellate clone Alchichica_AQ1b_5E_30 small subunit ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
JN825684;Uncultured choanoflagellate clone Alchichica_AQ1_5E_45 small subunit ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
JN825685;Uncultured choanoflagellate clone Alchichica_AQ1B_5E_17 small subunit ribosomal RNA gene, partial sequence;uncultured Choanoflagellida
JN832734;Uncultured eukaryote clone E_MO_2B01_OTU37 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JN832892;Uncultured eukaryote clone E_NY_2A06 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JN868114;Uncultured yeast clone KY18 26S ribosomal RNA gene, partial sequence;uncultured yeast
JN868733;Uncultured bacterium clone S31 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN868850;Uncultured bacterium clone NW14 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN868867;Uncultured bacterium clone NW92 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN868912;Uncultured bacterium clone MC15 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN868926;Uncultured bacterium clone MC73 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN869237;Uncultured bacterium clone MS80 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN873984;Uncultured bacterium clone RESET_113F02 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874142;Uncultured bacterium clone RESET_18E10 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874277;Uncultured bacterium clone RESET_221D10 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874281;Uncultured bacterium clone RESET_221D03 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874286;Uncultured bacterium clone RESET_221C07 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874296;Uncultured bacterium clone RESET_221B03 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874299;Uncultured bacterium clone RESET_221A11 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874301;Uncultured bacterium clone RESET_221A09 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874304;Uncultured bacterium clone RESET_221A05 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874305;Uncultured bacterium clone RESET_221A04 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874306;Uncultured bacterium clone RESET_221A03 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874307;Uncultured bacterium clone RESET_221A01 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874312;Uncultured bacterium clone RESET_213H07 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874313;Uncultured bacterium clone RESET_213H06 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874321;Uncultured bacterium clone RESET_213G08 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874328;Uncultured bacterium clone RESET_213G01 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN874360;Uncultured bacterium clone RESET_213C10 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JN968587;Muriella decolor strain SAG 249-2 18S ribosomal RNA gene, partial sequence;Muriella decolor
JN986721;Uncultured Chytridiomycota clone MH2_NS7R_MV5E2_77 18S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ071777;Uncultured Triparticalcar clone Jb59 18S ribosomal RNA gene, partial sequence;uncultured Triparticalcar
JQ222671;Uncultured eukaryote clone SHAY505 16S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ222950;Uncultured eukaryote clone SHAU531 16S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ226494;Uncultured eukaryote clone SHAA571 16S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ231253;Uncultured fungus clone B52 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ247341;Uncultured Nematoctonus clone FDBC10 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Nematoctonus
JQ310862;Uncultured soil fungus clone OTU97-129 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310864;Uncultured soil fungus clone OTU97-130 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310865;Uncultured soil fungus clone OTU97-131 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310913;Uncultured soil fungus clone OTU97-175 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310991;Uncultured soil fungus clone OTU97-245 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310992;Uncultured soil fungus clone OTU97-246 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310994;Uncultured soil fungus clone OTU97-248 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ310998;Uncultured soil fungus clone OTU97-251 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311017;Uncultured soil fungus clone OTU97-269 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311021;Uncultured soil fungus clone OTU97-272 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311054;Uncultured soil fungus clone OTU97-301 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311233;Uncultured soil fungus clone OTU97-463 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311276;Uncultured soil fungus clone OTU97-501 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311395;Uncultured soil fungus clone OTU97-609 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311404;Uncultured soil fungus clone OTU97-617 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311415;Uncultured soil fungus clone OTU97-627 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311430;Uncultured soil fungus clone OTU97-640 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311437;Uncultured soil fungus clone OTU97-647 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311443;Uncultured soil fungus clone OTU97-652 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311447;Uncultured soil fungus clone OTU97-656 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311466;Uncultured soil fungus clone OTU97-674 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311474;Uncultured soil fungus clone OTU97-681 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311495;Uncultured soil fungus clone OTU97-700 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311500;Uncultured soil fungus clone OTU97-705 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311505;Uncultured soil fungus clone OTU97-71 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311525;Uncultured soil fungus clone OTU97-729 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311526;Uncultured soil fungus clone OTU97-73 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311539;Uncultured soil fungus clone OTU97-741 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311552;Uncultured soil fungus clone OTU97-753 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311559;Uncultured soil fungus clone OTU97-76 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311568;Uncultured soil fungus clone OTU97-768 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311576;Uncultured soil fungus clone OTU97-775 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311611;Uncultured soil fungus clone OTU97-806 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311621;Uncultured soil fungus clone OTU97-815 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311626;Uncultured soil fungus clone OTU97-82 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311662;Uncultured soil fungus clone OTU97-852 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311681;Uncultured soil fungus clone OTU97-87 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311683;Uncultured soil fungus clone OTU97-871 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311715;Uncultured soil fungus clone OTU97-87 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311792;Uncultured soil fungus clone OTU97-97 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ311793;Uncultured soil fungus clone OTU97-970 28S ribosomal RNA gene, partial sequence;uncultured fungus
JQ420091;Uncultured phytoplankton clone Q1-9 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420092;Uncultured phytoplankton clone Q1-10 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420094;Uncultured phytoplankton clone Q3-1 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420096;Uncultured phytoplankton clone Q3-14 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420097;Uncultured phytoplankton clone Q3-20 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420098;Uncultured phytoplankton clone Q3-7 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420099;Uncultured phytoplankton clone Q3-8 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420100;Uncultured phytoplankton clone Q3-9 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420101;Uncultured phytoplankton clone Q3-21 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420102;Uncultured phytoplankton clone Q3-11 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420103;Uncultured phytoplankton clone Q3-31 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420104;Uncultured phytoplankton clone Q3-25 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420105;Uncultured phytoplankton clone Q3-22 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420106;Uncultured phytoplankton clone Q3-18 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420107;Uncultured phytoplankton clone Q3-31 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420108;Uncultured phytoplankton clone Q3-19 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420109;Uncultured phytoplankton clone Q3-2 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420110;Uncultured phytoplankton clone Q3-3 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420111;Uncultured phytoplankton clone Q3-4 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420113;Uncultured phytoplankton clone Q3-28 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420114;Uncultured phytoplankton clone Q3-17 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420117;Uncultured phytoplankton clone Q3-12 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420119;Uncultured phytoplankton clone Q3-13 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420120;Uncultured phytoplankton clone Q3-30 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420121;Uncultured phytoplankton clone Q3-16 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420122;Uncultured phytoplankton clone Q3-6 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420124;Uncultured phytoplankton clone Q3-23 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ420125;Uncultured phytoplankton clone Q3-24 18S ribosomal RNA gene, partial sequence;phytoplankton environmental sample
JQ629598;Uncultured bacterium clone Reactor2_44 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ684474;Uncultured Polaromonas sp. clone Nu126 16S ribosomal RNA gene, partial sequence;uncultured Polaromonas sp.
JQ684490;Uncultured Acinetobacter sp. clone deep64 16S ribosomal RNA gene, partial sequence;uncultured Acinetobacter sp.
JQ684493;Uncultured Polaromonas sp. clone deep102 16S ribosomal RNA gene, partial sequence;uncultured Polaromonas sp.
JQ689406;Uncultured Chytridiomycota clone Ay2007B11 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ689412;Uncultured Chytridiomycota clone Ay2007E5 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ689417;Uncultured Chytridiomycota clone Ay2007H3 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ689420;Uncultured Chytridiomycota clone Pa2007A2 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ689433;Uncultured Chytridiomycota clone Pa2007F6 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ689434;Uncultured Chytridiomycota clone Pa2007G2 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Chytridiomycota
JQ692043;Uncultured Scuticociliatia clone 18S.23 18S ribosomal RNA gene, partial sequence;uncultured Scuticociliatia
JQ743690;Uncultured peritrich ciliate clone GDH_B1-1 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743692;Uncultured peritrich ciliate clone GDH_B1-3 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743693;Uncultured peritrich ciliate clone GDH_B1-4 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743694;Uncultured peritrich ciliate clone GDH_B2-1 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743697;Uncultured peritrich ciliate clone GDH_B2-4 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743698;Uncultured peritrich ciliate clone GDH_B2-5 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ743702;Uncultured peritrich ciliate clone GDH_M1 18S ribosomal RNA gene, partial sequence;uncultured Peritrichia
JQ776318;Uncultured Chitinibacter sp. clone SUPWaterClone299 16S ribosomal RNA gene, partial sequence;uncultured Chitinibacter sp.
JQ781885;Uncultured stramenopile clone H3S3Be43l 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ781887;Uncultured stramenopile clone H3S3Ae99t 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ781888;Uncultured stramenopile clone H3S3Be42Y 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ781947;Uncultured stramenopile clone 155S8Be866 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782056;Uncultured stramenopile clone 13H3Te9Wc 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782057;Uncultured stramenopile clone 13H3Te9Wt 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782058;Uncultured stramenopile clone 13H3Te9Yr 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782059;Uncultured stramenopile clone 14H3Te6KV 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782061;Uncultured stramenopile clone 14H3Te6L1 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782062;Uncultured stramenopile clone 14H3Te6LQ 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782069;Uncultured stramenopile clone 15H3Te915 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782070;Uncultured stramenopile clone 15H3Te91Z 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782073;Uncultured stramenopile clone 15H3Te92u 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782074;Uncultured stramenopile clone 15H3Te94A 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782075;Uncultured stramenopile clone 15H3Te94T 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782076;Uncultured stramenopile clone 15H3Te95B 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782091;Uncultured stramenopile clone 905st23-29 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782092;Uncultured stramenopile clone 905st23-30 18S ribosomal RNA gene, partial sequence;uncultured stramenopile
JQ782310;Uncultured eukaryote clone HD1bt0.42 18S ribosomal RNA, partial sequence;uncultured eukaryote
JQ782326;Uncultured eukaryote clone HD3ct5.17 18S ribosomal RNA, partial sequence;uncultured eukaryote
JQ782332;Uncultured eukaryote clone HD3bt0.35 18S ribosomal RNA, partial sequence;uncultured eukaryote
JQ782348;Uncultured eukaryote clone HD4ft4.2 18S ribosomal RNA, partial sequence;uncultured eukaryote
JQ782358;Uncultured eukaryote clone HD4ft4.12 18S ribosomal RNA, partial sequence;uncultured eukaryote
JQ925083;Uncultured bacterium clone PM-150-Bact-47 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ941996;Uncultured bacterium clone VER_42_inf_81 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942001;Uncultured bacterium clone VER_29_sup_37 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942016;Uncultured bacterium clone VER_10_inf_26 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942065;Uncultured bacterium clone VER_41_sup_07 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942072;Uncultured bacterium clone VER_42_inf_01 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942085;Uncultured bacterium clone VER_18_sup_51 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942094;Uncultured bacterium clone VER_35_sup_36 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ942103;Uncultured bacterium clone VER_36_inf_16 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JQ956073;Uncultured eukaryote clone CB432L21 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ956248;Uncultured eukaryote clone AN0697_21L9B 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ956273;Uncultured eukaryote clone MAL106_6_A9 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JQ997641;Uncultured Lactococcus sp. clone GKJWQY101BQ78F 16S ribosomal RNA gene, partial sequence;uncultured Lactococcus sp.
JX043449;Uncultured fungus clone G2_CF12 28S ribosomal RNA gene, partial sequence;uncultured fungus
JX099062;Uncultured eukaryote clone 4E_01H 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX111018;Uncultured fungus clone QS1 18S ribosomal RNA gene, partial sequence;uncultured fungus
JX111025;Uncultured fungus clone QS10 18S ribosomal RNA gene, partial sequence;uncultured fungus
JX132041;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132049;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132062;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132069;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132071;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132075;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132083;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132086;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132089;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132095;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132099;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132101;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132105;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132109;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132113;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132115;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132116;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132119;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132123;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132126;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132128;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132131;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132133;Uncultured Galactomyces clone CEss362 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX132134;Uncultured Galactomyces clone CEss354 18S ribosomal RNA gene, partial sequence;uncultured Galactomyces
JX136102;Uncultured fungus clone L049545A11 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, complete sequence and 5.8S ribosomal RNA gene, partial sequence;uncultured fungus
JX136135;Uncultured fungus clone L049548B02 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, complete sequence and 5.8S ribosomal RNA gene, partial sequence;uncultured fungus
JX136139;Uncultured fungus clone L049548B12 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured fungus
JX136154;Uncultured fungus clone L049549E04 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, complete sequence and 5.8S ribosomal RNA gene, partial sequence;uncultured fungus
JX136168;Uncultured fungus clone L049565D03 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence;uncultured fungus
JX136237;Uncultured fungus clone L049632H09 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence;uncultured fungus
JX136253;Uncultured fungus clone L049634A08 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence;uncultured fungus
JX136257;Uncultured fungus clone L049634D03 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence;uncultured fungus
JX136263;Uncultured fungus clone L049634E04 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence;uncultured fungus
JX136381;Uncultured fungus clone L049907C02 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence;uncultured fungus
JX158952;Grevillea environmental sample clone CEgs465 18S ribosomal RNA gene, partial sequence;Grevillea environmental sample
JX159421;Uncultured Filobasidium clone CEgs934 18S ribosomal RNA gene, partial sequence;uncultured Filobasidium
JX159453;Uncultured Filobasidium clone CEgs966 18S ribosomal RNA gene, partial sequence;uncultured Filobasidium
JX159476;Uncultured Filobasidium clone CEgs934 18S ribosomal RNA gene, partial sequence;uncultured Filobasidium
JX159485;Uncultured Filobasidium clone CEgs966 18S ribosomal RNA gene, partial sequence;uncultured Filobasidium
JX159504;Uncultured Filobasidium clone CEgs934 18S ribosomal RNA gene, partial sequence;uncultured Filobasidium
JX188294;Uncultured eukaryote clone CC02SE75.039 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX188328;Uncultured eukaryote clone CC02A105.084 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX188345;Uncultured eukaryote clone CC02A175.084 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX188372;Uncultured eukaryote clone CC02A175.081 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX241720;Uncultured fungus clone CheiFrLf2351 26S ribosomal RNA gene, partial sequence;uncultured fungus
JX257221;Uncultured bacterium clone VS6-46 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JX257227;Uncultured bacterium clone VS6-51 16S ribosomal RNA gene, partial sequence;uncultured bacterium
JX268810;Uncultured ciliate clone Gy-08-6 18S ribosomal RNA gene, partial sequence;uncultured ciliate
JX268822;Uncultured ciliate clone Gy-08-18 18S ribosomal RNA gene, partial sequence;uncultured ciliate
JX268858;Uncultured ciliate clone Gy-08-54 18S ribosomal RNA gene, partial sequence;uncultured ciliate
JX268882;Uncultured ciliate clone Gy-08-79 18S ribosomal RNA gene, partial sequence;uncultured ciliate
JX276894;Uncultured Glomeromycota clone KP_C036 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence;uncultured Glomeromycotina
JX296576;Uncultured fungus clone NKS146 18S ribosomal RNA gene, partial sequence;uncultured fungus
JX392325;Uncultured fungus clone D43 18S ribosomal RNA gene, partial sequence;uncultured fungus
JX457408;Uncultured eukaryote clone EukT1B3_1_17 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457409;Uncultured eukaryote clone EukT1B3_1_17 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457410;Uncultured eukaryote clone EukT1B3_1_17 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457441;Uncultured eukaryote clone EukT1B3_1_92 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457442;Uncultured eukaryote clone EukT2B3_2_17 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457443;Uncultured eukaryote clone EukT1B3_3_55 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457444;Uncultured eukaryote clone EukT2B3_1_53 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457445;Uncultured eukaryote clone EukT1B3_3_50 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457446;Uncultured eukaryote clone EukT2B3_1_50 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457447;Uncultured eukaryote clone EukT1B3_3_49 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
JX457448;Uncultured eukaryote clone EukT2B3_1_25 18S ribosomal RNA gene, partial sequence;uncultured eukaryote
